Type,Team ,Site,blank,ICPMS Sample Name,Li_mg/l or mg/kg,Na_mg/l or mg/kg,Mg_mg/l or mg/kg,Al_mg/l or mg/kg,K _mg/l or mg/kg,Ca_mg/l or mg/kg,Cr_mg/l or mg/kg,Mn_mg/l or mg/kg,Fe_mg/l or mg/kg,Co_mg/l or mg/kg,Ni_mg/l or mg/kg,Cu_mg/l or mg/kg,Zn_mg/l or mg/kg,As_mg/l or mg/kg,Rb_mg/l or mg/kg,Sr_mg/l or mg/kg,Ag_mg/l or mg/kg,Cd_mg/l or mg/kg,Ba_mg/l or mg/kg,Tl_mg/l or mg/kg,Pb_mg/l or mg/kg,U _mg/l or mg/kg
Soil/sed,1,1,no,ST1S1,3.558,88.393,2095.103,6289.724,526.024,797.557,12.756,439.023,19061.502,11.878,13.758,22.708,87.547,6.808,9.919,8.580,0.131,0.39209,69.717,0.15760,21.5322,1.45688
Soil/sed,5,1,no,ST5S1,3.458,91.925,1823.050,6424.047,583.168,1101.686,13.373,381.147,18384.066,12.049,13.138,49.828,94.932,6.961,11.922,9.201,0.168,0.46494,78.123,0.02435,24.2344,1.48781
Soil/sed,1,2,no,ST1S2_top,0.894,64.392,634.690,2968.960,582.700,353.786,1.340,160.158,5525.610,1.326,1.052,35.004,75.624,2.898,9.730,4.038,0.114,0.28600,34.962,0.08200,64.9540,0.26200
Soil/sed,1,2,no,ST1S2_60,1.894,117.088,1050.472,5271.170,807.756,363.836,2.092,105.678,8482.168,1.592,1.930,26.366,164.540,2.754,17.734,4.762,0.116,0.29400,57.692,0.08600,38.4400,0.33000
Soil/sed,5,2,no,ST5S2,1.180,55.887,744.403,3289.567,662.963,501.691,1.234,163.212,5371.861,1.296,0.941,14.754,50.583,2.644,11.444,4.694,0.112,0.24473,38.098,0.03210,49.8130,0.22868
Soil/sed,5,3,no,ST5S3,1.774,83.612,1668.350,5297.442,486.436,968.618,10.738,488.648,23634.122,9.010,9.522,94.246,580.176,39.282,8.332,8.572,1.906,0.84800,154.428,0.13600,459.2600,1.39200
Soil/sed,1,4,no,ST1S4,0.997,52.018,1078.645,3981.908,404.129,581.347,6.926,394.624,19142.455,6.732,5.285,84.558,590.717,35.696,6.221,5.106,1.306,0.84554,101.287,0.12713,383.5935,1.05743
Soil/sed,2,6,no,ST2S6,1.369,74.380,1578.585,4929.176,619.203,1214.769,11.388,355.659,15663.003,7.284,8.118,35.437,873.694,5.629,8.605,8.707,0.244,2.17140,57.446,0.05775,91.9380,1.23393
Soil/sed,6,6,no,ST6S6,1.627,102.031,1706.522,4940.760,670.129,2335.971,11.460,456.640,14886.405,8.759,9.461,36.848,884.487,5.582,10.525,12.517,0.166,1.90077,66.058,0.01202,100.2652,1.28080
Soil/sed,2,7,no,ST2S7,1.890,54.643,2466.191,5156.420,817.052,2481.969,11.070,323.986,12460.523,5.511,8.714,15.265,318.451,3.181,11.517,10.463,0.171,1.24932,42.157,0.03654,129.9606,0.89784
Soil/sed,6,7,no,ST6S7,1.935,99.314,3011.941,7613.252,1445.856,2063.012,16.277,473.745,19282.376,10.347,12.888,30.712,580.167,5.560,20.677,13.659,0.166,1.37392,78.972,0.04875,92.5623,1.18999
Soil/sed,2,8,no,ST2S8,1.287,51.551,2710.966,5359.803,693.603,648.358,11.733,257.023,13329.311,5.738,10.273,13.045,137.625,2.332,6.287,5.950,0.042,0.27550,37.327,0.00189,14.4714,0.85292
Soil/sed,6,8,no,ST6S8,1.948,87.044,3207.775,7038.891,960.583,1874.935,15.603,403.217,18546.520,8.677,14.055,19.721,233.923,3.716,8.769,10.709,0.065,0.51675,55.008,0.00224,23.3722,0.97533
Soil/sed,2,9,no,ST2S9,1.430,48.661,2745.064,6377.165,1080.935,2387.682,13.626,506.701,17187.739,9.780,12.050,20.467,752.058,3.823,11.764,18.905,0.096,1.52842,65.705,0.01253,46.7628,1.16928
