Team ,Site,Li_mg/l or mg/kg,Na_mg/l or mg/kg,Mg_mg/l or mg/kg,Al_mg/l or mg/kg,K _mg/l or mg/kg,Ca_mg/l or mg/kg,Cr_mg/l or mg/kg,Mn_mg/l or mg/kg,Fe_mg/l or mg/kg,Co_mg/l or mg/kg,Ni_mg/l or mg/kg,Cu_mg/l or mg/kg,Zn_mg/l or mg/kg,As_mg/l or mg/kg,Rb_mg/l or mg/kg,Sr_mg/l or mg/kg,Ag_mg/l or mg/kg,Cd_mg/l or mg/kg,Ba_mg/l or mg/kg,Tl_mg/l or mg/kg,Pb_mg/l or mg/kg,U _mg/l or mg/kg
1,1,0.001,0.3973333333333333,0.256,0.034999999999999996,0.018,0.044000000000000004,0.0,0.0013333333333333333,0.02,0.0,0.0,0.0,0.004,0.002,0.0003333333333333333,0.001,0.0,2e-05,0.001,0.00015333333333333334,0.00023333333333333333,0.00019333333333333333
1,4,0.001,0.493,0.454,0.017,0.018,0.044,0.0,0.017,0.012,0.0,0.0,0.0,0.004,0.0,0.0,0.001,0.0,3e-05,0.002,0.00029,0.0001,1e-05
1,5,0.001,0.768,1.126,0.077,0.018,0.044,0.0,0.053,0.242,0.0,0.0,0.001,0.062,0.0,0.0,0.004,0.0,0.00021,0.002,0.00456,0.0007,1e-05
2,6,0.001,1.2069999999999999,0.8809999999999999,0.004333333333333333,0.018,0.044000000000000004,0.0,0.015666666666666666,0.012000000000000002,0.0,0.0,0.0,0.004,0.0,0.0,0.005666666666666667,0.0,2.666666666666667e-05,0.0030000000000000005,0.00011,0.0004333333333333333,1.3333333333333335e-05
2,7,0.001,1.304,1.045,0.0,0.018,0.044,0.0,0.015,0.012,0.0,0.0,0.0,0.004,0.0,0.0,0.006,0.0,2e-05,0.003,0.00011,0.0002,1e-05
2,8,0.014,1.526,1.137,0.034,3.837,0.044,0.027,0.015,1.663,0.0,0.011,0.012,0.004,0.001,0.001,0.007,0.001,3e-05,0.003,0.00011,0.002,4e-05
2,9,0.001,17.514,13.983,1.986,1.712,36.44,0.005,0.032,0.092,0.004,0.005,0.024,0.572,0.0,0.002,0.138,0.001,0.0001,0.036,0.0001,0.004,0.0003
3,11,0.0,27.771,11.934,0.021,3.235,35.838,0.0,0.183,0.08,0.0,0.001,0.001,0.005,0.001,0.001,0.183,0.0,0.0,0.061,0.0,0.0001,0.0022
3,12,0.0,13.158,7.78,0.196,2.416,11.884,0.0,0.042,0.302,0.0,0.001,0.002,0.012,0.001,0.002,0.062,0.0,0.0,0.013,0.0,0.0004,0.0002
3,13,0.0,38.539,31.485,0.016,2.363,46.336,0.0,0.055,0.11,0.0,0.001,0.001,0.006,0.001,0.001,0.305,0.0,0.0,0.046,0.0,0.0,0.0013
3,14,0.0,14.772,8.609,0.069,2.326,15.044,0.001,0.049,0.245,0.0,0.001,0.003,0.0,0.001,0.002,0.073,0.0,0.0,0.017,0.0,0.0004,0.0003
3,15,0.0,14.653,7.417,0.1,2.485,14.596,0.001,0.02,0.339,0.0,0.001,0.003,0.0,0.001,0.002,0.087,0.0,0.0,0.014,0.0,0.0009,0.0004
3,16,0.0,28.48,10.643,0.075,2.308,43.627,0.001,0.047,0.204,0.0,0.001,0.003,0.0,0.0,0.003,0.152,0.0,0.0,0.06,0.0,0.0003,0.0007
4,17,0.001,13.173,8.159,0.413,2.705,13.902,0.002,0.012,0.176,0.0,0.002,0.004,0.002,0.0,0.002,0.073,0.001,0.0001,0.014,0.0001,0.0007,0.0004
4,18,0.001,14.457,8.311,0.466,2.801,13.963,0.002,0.009,0.251,0.0,0.002,0.003,0.002,0.0,0.002,0.071,0.001,0.0001,0.016,0.0001,0.0006,0.0003
4,19,0.001,13.51,8.504,0.103,2.569,14.393,0.0,0.177,0.34,0.0,0.001,0.001,0.002,0.0,0.002,0.076,0.001,0.0001,0.008,0.0001,0.0006,0.0003
4,20,0.001,15.535,9.112,0.466,2.361,14.063,0.003,0.071,0.336,0.0,0.002,0.004,0.002,0.0,0.002,0.075,0.001,0.0001,0.016,0.0001,0.0007,0.0003
4,21,0.001,14.167,7.498,0.13,2.358,13.099,0.003,0.019,0.281,0.0,0.002,0.001,0.002,0.0,0.002,0.074,0.001,0.0001,0.018,0.0001,0.0006,0.0003
4,22,0.001,18.885,9.037,0.475,4.634,21.453,0.002,0.007,0.281,0.0,0.002,0.003,0.002,0.0,0.004,0.078,0.001,0.0001,0.02,0.0001,0.0006,0.0004
5,0,0.001,0.15666666666666665,0.06033333333333333,0.21733333333333335,0.01,7.2316666666666665,0.0033333333333333335,0.001,0.043000000000000003,0.0,0.0016666666666666668,0.0,0.618,0.0006666666666666666,0.0,0.0030000000000000005,0.001,0.0001,0.0003333333333333333,0.0007433333333333334,0.0004333333333333333,3e-05
5,1,0.001,2.5946666666666665,2.1630000000000003,0.21733333333333335,0.009,7.647333333333333,0.0016666666666666668,0.022333333333333334,0.26333333333333336,0.001,0.002,0.001,0.5866666666666666,0.0026666666666666666,0.0003333333333333333,0.011333333333333334,0.001,9e-05,0.004666666666666667,7e-05,0.0004,0.00025333333333333333
5,2,0.001,3.521,2.781,0.244,0.241,9.528,0.002,0.006,0.361,0.0,0.002,0.0,0.605,0.0,0.001,0.017,0.001,0.0001,0.007,7e-05,0.0005,5e-05
5,3,0.001,3.761,3.957,0.272,0.27,10.342,0.002,0.101,0.608,0.001,0.002,0.007,1.039,0.0,0.001,0.02,0.001,0.00039,0.011,7e-05,0.0033,5e-05
5,4,0.001,4.21,6.74,0.246,0.382,13.577,0.003,0.304,1.656,0.003,0.003,0.006,1.969,0.0,0.001,0.03,0.001,0.00091,0.016,6e-05,0.0056,9e-05
5,5,0.072,56.281,618.74,67.098,0.292,285.435,0.014,53.038,426.885,0.6,0.19,0.724,222.399,0.003,0.004,0.754,0.001,0.09341,0.002,6e-05,0.019,0.02281
6,6,0.0030000000000000005,5.728666666666666,4.560666666666667,1.0986666666666667,0.8873333333333333,40.29866666666667,0.004333333333333334,0.06833333333333333,0.3293333333333333,0.0033333333333333335,0.006999999999999999,0.05133333333333334,0.7206666666666667,0.0003333333333333333,0.0016666666666666668,0.10033333333333334,0.001,0.00017,0.036,7.333333333333333e-05,0.0092,0.00015333333333333334
6,7,0.001,11.111,6.872,0.23,1.871,17.311,0.004,0.104,0.569,0.005,0.003,0.033,0.682,0.0,0.002,0.052,0.001,0.00011,0.025,8e-05,0.0064,0.00011
6,8,0.006,6.5315,5.706,3.1515,0.9285,63.408,0.0045000000000000005,0.0425,0.16599999999999998,0.006,0.010499999999999999,0.041499999999999995,0.628,0.0,0.002,0.1535,0.001,0.000165,0.048999999999999995,7.500000000000001e-05,0.00855,0.000185
6,9,0.001,16.368,13.068,1.822,1.585,40.044,0.005,0.035,0.096,0.004,0.006,0.026,0.628,0.0,0.002,0.129,0.001,0.0001,0.037,8e-05,0.0042,0.0003
6,10,0.001,5.0275,3.3795,2.685,0.557,23.5365,0.0045000000000000005,0.01,0.0775,0.002,0.0045000000000000005,0.01,0.3195,0.0005,0.001,0.057499999999999996,0.001,0.000105,0.015,8e-05,0.0021,0.00018999999999999998
7,11,0.0005,15.297500000000001,6.297999999999999,0.17850000000000002,2.043,17.43,0.0015,0.096,0.063,0.0,0.001,0.0115,0.0035,0.0005,0.001,0.1,0.0005,6e-05,0.0285,4.5e-05,0.00025,0.00107
7,12,0.0,12.297,7.627,0.185,2.237,13.059,0.0,0.042,0.299,0.0,0.001,0.002,0.013,0.001,0.002,0.063,0.0,2e-05,0.013,1e-05,0.0004,0.00023
7,13,0.0005,17.676499999999997,15.006,0.14150000000000001,1.246,23.65,0.001,0.031,0.0745,0.0,0.001,0.002,0.004,0.0005,0.0005,0.141,0.0005,6e-05,0.0235,4.5e-05,5e-05,0.0006000000000000001
7,14,0.0005,6.9159999999999995,4.2379999999999995,0.067,1.2215,8.2455,0.001,0.026,0.153,0.0,0.0005,0.019000000000000003,0.0245,0.0005,0.001,0.039,0.0005,6e-05,0.008,5e-05,0.0004,0.000165
7,15,0.0,13.829666666666668,8.186666666666667,0.09533333333333333,2.6513333333333335,14.981666666666667,0.001,0.021,0.31466666666666665,0.0,0.001,0.0030000000000000005,0.0,0.001,0.002,0.07833333333333332,0.0,2e-05,0.014333333333333332,5.9999999999999995e-05,0.0007666666666666667,0.00034333333333333335
7,16,0.0,29.361,10.434,0.074,2.536,42.772,0.001,0.044,0.202,0.0,0.001,0.003,0.0,0.0,0.003,0.15,0.0,2e-05,0.058,1e-05,0.0003,0.00066
8,17,0.001,14.174666666666667,8.302,0.29133333333333333,2.4773333333333336,13.261000000000001,0.0016666666666666668,0.011333333333333334,0.20966666666666667,0.0,0.0016666666666666668,0.0030000000000000005,0.002,0.0,0.002,0.07666666666666666,0.001,0.0001,0.014666666666666666,8e-05,0.0006,0.0003333333333333333
8,18,0.001,7.3495,4.0845,0.38,1.2779999999999998,6.414000000000001,0.003,0.004,0.13999999999999999,0.0,0.0015,0.002,0.002,0.0,0.001,0.037,0.001,0.0001,0.008,8e-05,0.00035,0.00019
8,19,0.001,6.979,4.096,0.209,1.252,6.6725,0.001,0.092,0.188,0.0,0.001,0.001,0.002,0.0,0.001,0.037,0.001,0.0001,0.0045,8e-05,0.00035,0.00014000000000000001
8,20,0.001,14.519,8.36,0.466,2.623,13.787,0.003,0.068,0.346,0.0,0.002,0.004,0.002,0.0,0.002,0.077,0.001,0.0001,0.015,8e-05,0.0007,0.00035
8,21,0.001,13.889,8.24,0.123,2.431,13.788,0.003,0.017,0.281,0.0,0.002,0.001,0.002,0.0,0.002,0.076,0.001,0.0001,0.019,8e-05,0.0006,0.0003
8,22,0.001,9.601500000000001,4.1545000000000005,0.3745,2.3935,10.9545,0.002,0.0035,0.149,0.0,0.0015,0.0035,0.002,0.0,0.002,0.04,0.001,0.0001,0.0115,8e-05,0.00035,0.00019
