Teams,Site code,Easting GDA94,Southing GDA94,Road prox m,Vis Turbidity,pH,EC ms,EC us,TDS ppt,TDS ppm,Temperature,TSS ( on filter),microplastics ( week 13),microplastics ( week 13),NU Total phosphorus mg/L,NU Total nitrogen mg/L,NF Total phosphorus mg/L,NF Total nitrogen mg/L,NFB Total phosphorus mg/L,NFB Total nitrogen mg/L,Soil/sed Li mg/kg,Soil/sed Na mg/kg, Soil/sed Mg mg/kg,Soil/sed Al mg/kg,Soil/sed K mg/kg,Soil/sed Ca mg/kg,Soil/sed Cr mg/kg,Soil/sed Mn mg/kg,Soil/sed Fe mg/kg,Soil/sed Co mg/kg,Soil/sed Ni mg/kg,Soil/sed Cu mg/kg,Soil/sed Zn mg/kg,Soil/sed As mg/kg,Soil/sed Rb mg/kg,Soil/sed Sr mg/kg,Soil/sed Ag mg/kg,Soil/sed Cd mg/kg,Soil/sed Ba mg/kg,Soil/sed Tl mg/kg,Soil/sed Pb mg/kg,Soil/sed U mg/kg,Water Li mg/L,Water Na mg/L,Water Mg mg/L,Water Al mg/L,Water K mg/L,Water Ca mg/L,Cr mg/L,Water Mn mg/L,Water Fe mg/L,Water Co mg/L,Water Ni mg/L,Water Cu mg/L,Water Zn mg/L,Water As mg/L,Water Rb mg/L,Water Sr mg/L,Water Ag mg/L,Water Cd mg/L,Water Ba mg/L,Water Tl mg/L,Water Pb mg/L,Water U mg/L,Genetic Diversity (shannon),Species Richness
Team 1 ,ETT24.01,72470,6054013,5,5,7.39,0.16,155,58,0.06,14.9,0.33,,,0.0242,0.195,0.019333,0.312,0.0125,0.070176,3.558,88.393,2095.103,6289.724,526.024,797.557,12.756,439.023,19061.502,11.878,13.758,22.708,87.547,6.808,9.919,8.58,0.131,0.39209,69.717,0.1576,21.5322,1.45688,0.001,0.397333,0.256,0.035,0.018,0.044,0,0.001333,0.02,0,0,0,0.004,0.002,0.000333,0.001,0,0.00002,0.001,0.000153,0.000233,0.000193,0.688942,3
Team 1 ,ETT24.02,72179,6057315,300,5,7.55,0.07,73,35,0.04,21.3,0.33,,,0.0241,0.257,0.019333,0.312,0.0221,0.25972,1.394,90.74,842.581,4120.065,695.228,358.811,1.716,132.918,7003.889,1.459,1.491,30.685,120.082,2.826,13.732,4.4,0.115,0.29,46.327,0.084,51.697,0.296,,,,,,,,,,,,,,,,,,,,,,,0.990964,4
Team 1 ,ETT24.04,72162,6058596,2,5,7.25,0.11,113,50,0.05,19.7,0.33,,,0.0277,0.235,,,0.0215,0.28036,0.997,52.018,1078.645,3981.908,404.129,581.347,6.926,394.624,19142.455,6.732,5.285,84.558,590.717,35.696,6.221,5.106,1.306,0.84554,101.287,0.12713,383.5935,1.05743,0.001,0.493,0.454,0.017,0.018,0.044,0,0.017,0.012,0,0,0,0.004,0,0,0.001,0,0.00003,0.002,0.00029,0.0001,0.00001,1.143853,5
Team 1 ,ETT24.05,72133,6059115,1,5,7.01,0.22,221,111,0.11,19.4,0.35,,,0.0228,0.265,0.019333,0.312,0.02,0.2924,,,,,,,,,,,,,,,,,,,,,,,0.001,0.768,1.126,0.077,0.018,0.044,0,0.053,0.242,0,0,0.001,0.062,0,0,0.004,0,0.00021,0.002,0.00456,0.0007,0.00001,0,1
Team 2,ETT24.06,716553,6080998,30,70,7.56,0.31,314,158,0.16,22,0.33,,,0.0386,0.344,0.0188,0.331,BDL,0.09718,1.369,74.38,1578.585,4929.176,619.203,1214.769,11.388,355.659,15663.003,7.284,8.118,35.437,873.694,5.629,8.605,8.707,0.244,2.1714,57.446,0.05775,91.938,1.23393,0.001,1.207,0.881,0.004333,0.018,0.044,0,0.015667,0.012,0,0,0,0.004,0,0,0.005667,0,0.000027,0.003,0.00011,0.000433,0.000013,1.388297,7
Team 2,ETT24.07,713822,6083909,2,32,7.24,0.25,250,125,0.13,21.7,0.32,,,0.0389,0.342,0.019933,0.323,0.0123,0.05418,1.89,54.643,2466.191,5156.42,817.052,2481.969,11.07,323.986,12460.523,5.511,8.714,15.265,318.451,3.181,11.517,10.463,0.171,1.24932,42.157,0.03654,129.9606,0.89784,0.001,1.304,1.045,0,0.018,0.044,0,0.015,0.012,0,0,0,0.004,0,0,0.006,0,0.00002,0.003,0.00011,0.0002,0.00001,1.498028,8
Team 2,ETT24.08,710457,6086863,1,19,7.37,0.29,285,140,0.14,22.7,0.34,,,0.0374,0.386,0.021967,0.386333,0.0067,0.045838,1.287,51.551,2710.966,5359.803,693.603,648.358,11.733,257.023,13329.311,5.738,10.273,13.045,137.625,2.332,6.287,5.95,0.042,0.2755,37.327,0.00189,14.4714,0.85292,0.014,1.526,1.137,0.034,3.837,0.044,0.027,0.015,1.663,0,0.011,0.012,0.004,0.001,0.001,0.007,0.001,0.00003,0.003,0.00011,0.002,0.00004,0.494759,4
Team 2,ETT24.09,703622,6087509,50,12.5,7.82,0.29,286,143,0.14,22.8,0.33,,,0.0341,0.421,0.023333,0.416667,0.0113,0.0645,1.43,48.661,2745.064,6377.165,1080.935,2387.682,13.626,506.701,17187.739,9.78,12.05,20.467,752.058,3.823,11.764,18.905,0.096,1.52842,65.705,0.01253,46.7628,1.16928,,,,,,,,,,,,,,,,,,,,,,,0.676171,2
Team 2,ETT24.10,701969,6087267,20,5,8.09,0.18,182,9,0.09,22.4,0.32,,,0.0308,0.492,0.023567,0.507,0.00997,0.13588,2.052,52.427,3037.335,5939.721,990.134,1526.019,13.471,475.01,15780.886,8.422,11.067,14.732,412.639,3.484,12.667,11.473,0.093,0.51661,52.772,0.02798,29.3122,1.51438,,,,,,,,,,,,,,,,,,,,,,,1.652842,9
Team 3,ETT24.11,696400,6088010,20,35,7.65,0.31,305,152,0.15,21.9,0,,,0.0702,0.789,0.0316,0.789,0.0736,0.75938,1.171,56.755,1528.686,4193.287,1414.444,5135.779,7.45,432.017,8688.487,5.2,3.887,7.702,74.76,1.845,11.046,44.547,0.077,0.27183,63.007,0.01547,12.8931,0.74256,,,,,,,,,,,,,,,,,,,,,,,0.897404,8
