,Genetic Diversity (shannon)
Genetic Diversity (shannon),1.0
Soil/sed Na mg/kg,0.11618591925690465
 Soil/sed Mg mg/kg,0.26388040955326403
Soil/sed Al mg/kg,0.13353454047913965
Soil/sed K mg/kg,0.19466540738959173
Soil/sed Ca mg/kg,0.08897142092712612
Soil/sed Cr mg/kg,0.22248404701526472
Soil/sed Mn mg/kg,0.3051457323276339
Soil/sed Fe mg/kg,-0.0755348933393333
Soil/sed Co mg/kg,0.1482098555282882
Soil/sed Ni mg/kg,-0.00013546561619957761
Soil/sed Cu mg/kg,-0.3146162938749737
Soil/sed Zn mg/kg,-0.02143628282837312
Soil/sed As mg/kg,-0.23712938046216667
Soil/sed Rb mg/kg,0.3776661206290586
Soil/sed Sr mg/kg,0.19343863969627714
Soil/sed Ag mg/kg,-0.18828390558007704
Soil/sed Cd mg/kg,-0.04556265248074073
Soil/sed Ba mg/kg,-0.09136109263993059
Soil/sed Tl mg/kg,-0.2440487167305375
Soil/sed Pb mg/kg,-0.22002009591110774
Soil/sed U mg/kg,0.3886095221597023
