"sample_id","building","session","sample"
"Site_01_F_filtered.fastq.gz","Si","t","e"
"Site_02_F_filtered.fastq.gz","Si","t","e"
"Site_03_F_filtered.fastq.gz","Si","t","e"
"Site_04_F_filtered.fastq.gz","Si","t","e"
"Site_05_F_filtered.fastq.gz","Si","t","e"
"Site_06_F_filtered.fastq.gz","Si","t","e"
"Site_07_F_filtered.fastq.gz","Si","t","e"
"Site_08_F_filtered.fastq.gz","Si","t","e"
"Site_09_F_filtered.fastq.gz","Si","t","e"
"Site_10_F_filtered.fastq.gz","Si","t","e"
"Site_11_F_filtered.fastq.gz","Si","t","e"
"Site_13_F_filtered.fastq.gz","Si","t","e"
"Site_14_F_filtered.fastq.gz","Si","t","e"
"Site_15_F_filtered.fastq.gz","Si","t","e"
"Site_16_F_filtered.fastq.gz","Si","t","e"
"Site_17_F_filtered.fastq.gz","Si","t","e"
"Site_18_F_filtered.fastq.gz","Si","t","e"
"Site_19_F_filtered.fastq.gz","Si","t","e"
"Site_20_F_filtered.fastq.gz","Si","t","e"
"Site_21_F_filtered.fastq.gz","Si","t","e"
"Site_22_F_filtered.fastq.gz","Si","t","e"
"Site_NTC_Diluted_F_filtered.fastq.gz","Si","t","e"
"Site_NTC_Neat_F_filtered.fastq.gz","Si","t","e"
