"Species","Classification","Habitat","ETT24.01","ETT24.02","ETT24.03","ETT24.04","ETT24.05","ETT24.06","ETT24.07","ETT24.08","ETT24.09","ETT24.10","ETT24.11","ETT24.13","ETT24.14","ETT24.15","ETT24.16","ETT24.17","ETT24.18","ETT24.19","ETT24.20","ETT24.21","ETT24.22"
"Anas platyrhynchos",Non-native,Avian,31254,33351,0,14617,34277,16641,37170,0,13352,27113,28850,18937,312,8725,0,15951,13863,12331,9306,18047,11285
"Anser Anser",Non-native,Avian,0,0,8201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Carassius auratus",Aquatic,Non-native,0,0,0,0,0,0,222,11931,0,0,341,0,0,0,0,0,0,0,0,0,0
"Columba livia",Non-native,Avian,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,771
"Craterocephalus fluviatilis",Native,Aquatic,0,0,0,0,0,12595,0,0,0,0,0,0,0,351,0,1305,0,0,0,0,0
"Cygnus atratus",Native,Avian,0,0,0,0,0,0,0,0,0,0,59,0,23736,0,0,0,3017,0,0,3409,0
"Cyprinus carpio",Non-native,Aquatic,0,1843,0,742,0,1340,853,1229,0,7647,34,0,0,600,371,843,34,8282,4442,273,7266
"Dromaius novaehollandiae",Native,Avian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1638,33,0,0,0,0
"Galaxias sp.",Native,Aquatic,0,0,0,14596,0,23874,11327,67959,19363,0,0,0,0,0,0,0,0,0,0,0,0
"Gallus gallus",Native,Aquatic,0,0,27566,0,0,6881,4371,0,0,402,0,0,0,0,0,0,0,0,0,0,112
"Gambusia holbrooki",Non-native,Aquatic,0,40571,0,7988,0,90,4404,0,0,11205,4648,15136,4024,1280,10342,2969,2988,0,3668,984,11857
"Hypseleotris klunzingeri",Native,Aquatic,0,0,0,0,0,0,7865,0,0,0,5212,12305,17316,23179,8349,24820,13901,0,896,9051,1461
"Maccullochella peelii",Native,Aquatic,0,6015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,10561,1308,0,16113
"Macquaria ambigua",Native,Aquatic,0,0,0,0,0,0,6521,0,0,2959,0,0,0,0,0,0,0,0,2976,2721,6104
"Misgurnus anguillicaudatus",Non-native,Aquatic,0,0,0,0,0,0,0,0,0,0,121,0,23,0,858,0,0,0,151,0,79
"Ocyphaps lophotes",Native,Aquatic,0,0,0,0,0,0,0,0,0,471,0,0,0,0,0,0,315,0,3207,0,0
"Perca fluviatilis",Non-native,Aquatic,0,0,0,0,0,0,0,0,0,11044,720,4756,126,0,0,1805,3044,1262,4938,8926,383
"Petaurus breviceps",Native,Mammal,0,0,0,20,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,8
"Phalacrocorax carbo",Native,Avian,0,0,0,0,0,0,0,0,0,0,0,0,0,4795,0,0,0,0,0,0,0
"Retropinna semoni",Native,Aquatic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6658
"Salmo salar",Non-native,Aquatic,38497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salmo trutta",Non-native,Aquatic,9,0,0,0,0,0,0,9,0,8345,0,0,0,0,0,0,0,0,0,0,0
"Sturnus vulgaris",Native,Avian,0,0,0,0,0,0,0,0,0,0,0,8694,0,0,0,0,81,0,0,0,0
"Trichosurus vulpecula",Native,Mammal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548,0,0,0,0,0,0
