"Site code","Anas platyrhynchos","Anser Anser","Carassius auratus","Columba livia","Craterocephalus fluviatilis","Cygnus atratus","Cyprinus carpio","Dromaius novaehollandiae","Galaxias sp.","Gallus gallus","Gambusia holbrooki","Hypseleotris klunzingeri","Maccullochella peelii","Macquaria ambigua","Misgurnus anguillicaudatus","Ocyphaps lophotes","Perca fluviatilis","Petaurus breviceps","Phalacrocorax carbo","Retropinna semoni","Salmo salar","Salmo trutta","Sturnus vulgaris","Trichosurus vulpecula"
"Site_01",31254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38497,9,0,0
"Site_02",33351,0,0,0,0,0,1843,0,0,0,40571,0,6015,0,0,0,0,0,0,0,0,0,0,0
"Site_03",0,8201,0,0,0,0,0,0,0,27566,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site_04",14617,0,0,0,0,0,742,0,14596,0,7988,0,0,0,0,0,0,20,0,0,0,0,0,0
"Site_05",34277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site_06",16641,0,0,35,12595,0,1340,0,23874,6881,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site_07",37170,0,222,0,0,0,853,0,11327,4371,4404,7865,0,6521,0,0,0,0,0,0,0,0,0,0
"Site_08",0,0,11931,0,0,0,1229,0,67959,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"Site_09",13352,0,0,0,0,0,0,0,19363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Site_10",27113,0,0,0,0,0,7647,0,0,402,11205,0,0,2959,0,471,11044,6,0,0,0,8345,0,0
"Site_11",28850,0,341,0,0,59,34,0,0,0,4648,5212,0,0,121,0,720,0,0,0,0,0,0,0
"Site_13",18937,0,0,0,0,0,0,0,0,0,15136,12305,0,0,0,0,4756,0,0,0,0,0,8694,0
"Site_14",312,0,0,0,0,23736,0,0,0,0,4024,17316,0,0,23,0,126,0,0,0,0,0,0,0
"Site_15",8725,0,0,0,351,0,600,0,0,0,1280,23179,0,0,0,0,0,0,4795,0,0,0,0,0
"Site_16",0,0,0,0,0,0,371,0,0,0,10342,8349,0,0,858,0,0,0,0,0,0,0,0,548
"Site_17",15951,0,0,0,1305,0,843,1638,0,0,2969,24820,0,0,0,0,1805,0,0,0,0,0,0,0
"Site_18",13863,0,0,0,0,3017,34,33,0,0,2988,13901,84,0,0,315,3044,0,0,0,0,0,81,0
"Site_19",12331,0,0,0,0,0,8282,0,0,0,0,0,10561,0,0,0,1262,0,0,0,0,0,0,0
"Site_20",9306,0,0,0,0,0,4442,0,0,0,3668,896,1308,2976,151,3207,4938,0,0,0,0,0,0,0
"Site_21",18047,0,0,0,0,3409,273,0,0,0,984,9051,0,2721,0,0,8926,0,0,0,0,0,0,0
"Site_22",11285,0,0,771,0,0,7266,0,0,112,11857,1461,16113,6104,79,0,383,8,0,6658,0,0,0,0
